filename,type,duration
KM_WbR_TOM_02.wav,tom,0.5
KM_WbR_SHAK_21.wav,unknown,3.902
KM_WbR_HATS_FLUKE_02.wav,hat,7.869
PML_DPV8_SV_Perc_008.wav,perc,2.857
PML_DPV8_ZM_Clap_003.wav,clap,1.372
PML_DPV8_SV_Perc_020.wav,perc,0.363
PML_Organica_3_CongaLoop_122BPM_040.wav,loop,7.869
KM_WbR_SHAK_09.wav,unknown,3.902
PML_DPV8_ZM_Perc_049.wav,perc,0.346
KM_WbR_HATS_D_14.wav,hat,7.805
PML_DPV8_SV_Perc_034.wav,perc,0.323
PML_DPV8_SV_Hat_003.wav,hat,0.238
PML_Organica_3_CajitaLoop_122BPM_001.wav,loop,7.869
PML_Organica_3_CongaFill_122BPM_031.wav,unknown,1.967
PML_Organica_3_CongaFill_122BPM_025.wav,unknown,2.951
PML_DPV8_SV_Hat_017.wav,hat,0.295
PML_Organica_3_TimbaleLoop_122BPM_006.wav,loop,7.869
PML_Organica_3_CongaFill_122BPM_019.wav,unknown,1.967
PML_AH_Atmo_Loop_005_121BPM_Eb.wav,loop,31.736
KM_WbR_HATS_SC1_01.wav,hat,3.902
PML_Organica_3_TimbaleLoop_122BPM_012.wav,loop,7.869
PML_DPV8_ZM_FX_036.wav,fx,0.339
PML_Organica_3_TambourineLoop_122BPM_033.wav,loop,3.934
PML_Organica_3_TambourineLoop_122BPM_027.wav,loop,3.934
PML_DPV8_ZM_FX_022.wav,fx,0.166
PML_Organica_3_SmallPercLoop_122BPM_038.wav,perc,3.934
PML_Organica_3_Kick_007.wav,kick,0.344
PML_Organica_3_SmallPercLoop_122BPM_010.wav,perc,3.934
PML_BOEHMER_HATLOOP_008_122BPM.wav,hat,3.934
PML_DPV8_JS_Snare_009.wav,snare,0.5
PML_Organica_3_Tonal_OneShot_031_C.wav,unknown,11.803
PML_Organica_3_Kick_013.wav,kick,0.455
PML_Organica_3_SmallPercLoop_122BPM_004.wav,perc,3.934
PML_DPV8_YM_Shaker_001.wav,unknown,0.5
PML_DPV8_YM_Clap_012.wav,clap,0.246
PML_Organica_3_LayeredPercussion_012.wav,perc,0.151
PML_DPV8_SV_Shaker_001.wav,unknown,0.236
PML_Organica_3_LayeredPercussion_006.wav,perc,0.221
PML_AH_Conga_Loop_005_124BPM.wav,loop,7.742
PML_DPV8_YM_Clap_006.wav,clap,0.492
PML_AH_Clap_Loop_001_121BPM.wav,clap,7.934
PML_DPV8_ZM_Hat_012.wav,hat,0.335
PML_DPV8_ZM_Hat_006.wav,hat,0.337
PML_Organica_3_HatLoop_122BPM_008.wav,hat,3.934
PML_DPV8_SV_Kick_032_A.wav,kick,0.455
KM_WbR_HATS_FT_01.wav,hat,3.934
KM_WbR_SC1_52.wav,unknown,3.902
KM_WbR_SC1_46.wav,unknown,3.902
PML_Organica_3_HatLoop_122BPM_034.wav,hat,3.934
PML_Organica_3_HatLoop_122BPM_020.wav,hat,3.934
PML_Organica_3_SnareLoop_122BPM_001.wav,snare,3.934
PML_Organica_3_BongoLoop_122BPM_037.wav,loop,7.869
KM_WbR_TAMB_03.wav,unknown,7.805
PML_DPV8_SV_Kick_011_C#.wav,kick,0.363
PML_Organica_3_BongoLoop_122BPM_023.wav,loop,7.869
KM_WbR_FX_OVER_STRESS_03.wav,fx,7.869
KM_WbR_SHAKS_SYS_52.wav,unknown,0.976
KM_WbR_TALKING_06.wav,unknown,7.805
KM_WbR_ZEN_BOWL_02.wav,unknown,2.881
PML_BOEHMER_PERCLOOP_002_120BPM.wav,perc,4.0
PML_Organica_3_PercLoop_122BPM_009.wav,perc,1.967
KM_WbR_SHAKS_SYS_46.wav,unknown,1.951
PML_Organica_3_PercLoop_122BPM_021.wav,perc,1.967
PML_Organica_3_PercLoop_122BPM_035.wav,perc,3.934
KM_WbR_FX_OVER_05.wav,fx,3.934
KM_WbR_FX_043.wav,fx,6.341
PML_Organica_3_ShakerLoop_122BPM_010.wav,loop,3.934
KM_WbR_SHAKER_07.wav,unknown,15.61
KM_WbR_TEXTURE_03.wav,unknown,6.341
KM_WbR_SHAKER_13.wav,unknown,15.61
PML_Organica_3_VocalOneShot_EbMaj_004.wav,vocal,13.973
PML_Organica_3_ShakerLoop_122BPM_004.wav,loop,7.869
PML_DPV8_SV_FX_031.wav,fx,1.769
PML_Organica_3_ShakerLoop_122BPM_038.wav,loop,7.869
PML_AH_ShortSynth_014_124BPM_Cm.wav,unknown,7.742
PML_Organica_3_ShakerLoop_122BPM_039.wav,loop,7.869
PML_AH_ShortSynth_017_120BPM_Gm.wav,unknown,16.0
PML_DPV8_SV_Kick_008_A#.wav,kick,0.484
PML_Organica_3_ShakerLoop_122BPM_005.wav,loop,3.934
PML_Organica_3_VocalOneShot_EbMaj_005.wav,vocal,11.003
KM_WbR_SHAKER_12.wav,unknown,15.61
KM_WbR_TEXTURE_02.wav,unknown,12.683
PML_DPV8_SV_FX_030.wav,fx,1.806
KM_WbR_FX_OVER_04.wav,fx,7.869
KM_WbR_SHAKER_06.wav,unknown,15.61
PML_Organica_3_ShakerLoop_122BPM_011.wav,loop,3.934
KM_WbR_FX_042.wav,fx,6.341
PML_AH_Ride_Loop_001_121BPM.wav,loop,7.934
PML_Organica_3_PercLoop_122BPM_034.wav,perc,3.934
PML_Organica_3_PercLoop_122BPM_020.wav,perc,1.967
PML_BOEHMER_TOPLOOP_008_124BPM.wav,loop,3.934
KM_WbR_SHAKS_SYS_47.wav,unknown,3.902
PML_AH_LongerSynth_023_123BPM_G#m.wav,unknown,15.61
PML_Organica_3_PercLoop_122BPM_008.wav,perc,3.934
PML_AH_Bass_002_121BPM_Am.wav,bass,7.934
KM_WbR_SHAKS_SYS_53.wav,unknown,1.951
PML_AH_Kick_Loop_009_124BPM_G#.wav,kick,7.742
KM_WbR_TALKING_07.wav,unknown,7.805
KM_WbR_KICK_NWR_ATT_01.wav,kick,3.902
PML_BOEHMER_TOPLOOP_003_115BPM.wav,loop,4.174
PML_Organica_3_BongoLoop_122BPM_022.wav,loop,7.869
PML_AH_Fx_004_Fill_120BPM.wav,fx,4.0
PML_DPV8_YM_Tom_005_C#.wav,tom,0.302
KM_WbR_FX_OVER_STRESS_02.wav,fx,7.869
PML_Organica_3_Tonal_Oneshot_27_G.wav,unknown,4.918
PML_Organica_3_BongoLoop_122BPM_036.wav,loop,7.869
KM_WbR_TAMB_02.wav,unknown,15.61
PML_DPV8_YM_Kick_009_F.wav,kick,0.318
PML_BOEHMER_HATLOOP_014_122BPM.wav,hat,7.869
PML_Organica_3_HatLoop_122BPM_021.wav,hat,3.934
PML_Organica_3_HatLoop_122BPM_035.wav,hat,3.934
PML_DPV8_ZM_Kick_007_G#.wav,kick,0.673
KM_WbR_SC1_47.wav,unknown,3.902
PML_DPV8_SV_Kick_039_C#.wav,kick,0.469
PML_Organica_3_HatLoop_122BPM_009.wav,hat,3.934
KM_WbR_SC1_53.wav,unknown,1.951
PML_DPV8_ZM_Hat_007.wav,hat,0.684
PML_BOEHMER_TOPLOOP_007_122BPM.wav,loop,3.934
PML_DPV8_ZM_Hat_013.wav,hat,0.673
PML_Organica_3_LayeredPercussion_007.wav,perc,0.419
PML_DPV8_YM_Clap_007.wav,clap,0.847
PML_DPV8_YM_Clap_013.wav,clap,0.369
PML_Organica_3_LayeredPercussion_013.wav,perc,0.025
PML_DPV8_JS_Snare_008.wav,snare,0.5
PML_Organica_3_SmallPercLoop_122BPM_005.wav,perc,3.934
PML_Organica_3_Kick_012.wav,kick,0.369
PML_Organica_3_SmallPercLoop_122BPM_011.wav,perc,7.869
PML_Organica_3_Kick_006.wav,kick,0.506
PML_Organica_3_TambourineLoop_122BPM_026.wav,loop,3.934
PML_DPV8_ZM_FX_023.wav,fx,0.678
PML_Organica_3_SmallPercLoop_122BPM_039.wav,perc,3.934
PML_DPV8_SV_FX_003_127BPM.wav,fx,4.252
PML_AH_Top_Loop_004_123BPM.wav,loop,7.805
PML_DPV8_JS_Snare_020.wav,snare,0.75
PML_DPV8_ZM_FX_037.wav,fx,0.342
PML_Organica_3_TambourineLoop_122BPM_032.wav,loop,3.934
PML_Organica_3_CongaFill_122BPM_018.wav,unknown,1.967
PML_Organica_3_TimbaleLoop_122BPM_013.wav,loop,7.869
PML_DPV8_SV_FX_027_134BPM_G#min.wav,fx,2.463
PML_Organica_3_Tonal_OneShot_008_F.wav,unknown,3.735
PML_Organica_3_TimbaleLoop_122BPM_007.wav,loop,7.869
PML_Organica_3_CongaFill_122BPM_024.wav,unknown,2.951
PML_DPV8_SV_Hat_016.wav,hat,0.472
PML_DPV8_SV_Hat_002.wav,hat,0.114
PML_Organica_3_CongaFill_122BPM_030.wav,unknown,1.967
PML_DPV8_SV_Perc_035.wav,perc,0.159
KM_WbR_HATS_D_15.wav,hat,7.805
KM_WbR_HATS_D_01.wav,hat,7.805
PML_Organica_3_CongaLoop_122BPM_041.wav,loop,7.869
PML_DPV8_SV_Perc_021.wav,perc,0.442
PML_DPV8_ZM_Perc_048.wav,perc,0.15
KM_WbR_SHAK_08.wav,unknown,3.902
PML_AH_Hihat_Loop_006_124BPM.wav,hat,7.742
KM_WbR_SHAK_20.wav,unknown,3.902
PML_DPV8_ZM_Clap_002.wav,clap,1.372
PML_DPV8_SV_Perc_009.wav,perc,0.952
PML_DPV8_YM_Kick_010_G.wav,kick,0.246
PML_DPV8_ZM_Kick_006_D.wav,kick,0.684
KM_WbR_TOM_03.wav,tom,0.5
KM_WbR_SHAK_22.wav,unknown,3.902
KM_WbR_HATS_FLUKE_01.wav,hat,7.869
KM_WbR_TOM_01.wav,tom,0.5
PML_DPV8_SV_Perc_037.wav,perc,0.159
PML_DPV8_SV_Perc_023.wav,perc,1.316
KM_WbR_SY_05.wav,unknown,4.0
PML_Organica_3_CongaLoop_122BPM_043.wav,loop,7.869
KM_WbR_HATS_D_03.wav,hat,15.61
PML_DPV8_JS_Clap_009.wav,clap,0.5
PML_DPV8_SV_Hat_014.wav,hat,0.238
PML_Organica_3_CongaFill_122BPM_026.wav,unknown,2.951
PML_Organica_3_CajitaLoop_122BPM_002.wav,loop,7.869
PML_Organica_3_CongaFill_122BPM_032.wav,unknown,1.967
PML_DPV8_SV_Hat_028.wav,hat,0.168
KM_WbR_HATS_SC1_02.wav,hat,3.902
PML_DPV8_JS_Closed_Hat_018.wav,hat,0.25
PML_Organica_3_TimbaleLoop_122BPM_011.wav,loop,7.869
PML_DPV8_YM_Tom_002_A.wav,tom,0.5
PML_Organica_3_Tom_6_f.wav,tom,0.338
PML_Organica_3_TimbaleLoop_122BPM_005.wav,loop,7.869
PML_DPV8_ZM_FX_021.wav,fx,0.511
PML_Organica_3_TambourineLoop_122BPM_024.wav,loop,3.934
PML_Organica_3_TambourineLoop_122BPM_030.wav,loop,1.967
PML_Organica_3_Kick_010.wav,kick,0.285
PML_Organica_3_SmallPercLoop_122BPM_007.wav,perc,3.934
PML_Organica_3_TambourineLoop_122BPM_018.wav,loop,3.934
PML_DPV8_ZM_FX_009.wav,fx,0.672
PML_Organica_3_Kick_004.wav,kick,0.375
PML_Organica_3_SmallPercLoop_122BPM_013.wav,perc,7.869
PML_DPV8_YM_Clap_005.wav,clap,0.393
PML_DPV8_JS_Kick_003_D.wav,kick,0.5
PML_Organica_3_LayeredPercussion_005.wav,perc,0.907
PML_DPV8_SV_Kick_029_A.wav,kick,0.469
PML_DPV8_ZM_Hat_039.wav,hat,0.23
PML_Organica_3_LayeredPercussion_011.wav,perc,0.157
PML_DPV8_SV_Shaker_002.wav,unknown,0.118
PML_BOEHMER_PERC_009.wav,perc,0.406
PML_DPV8_YM_Shaker_002.wav,unknown,0.5
PML_DPV8_YM_Clap_011.wav,clap,0.301
PML_DPV8_ZM_Hat_005.wav,hat,0.34
PML_AH_Tom_Loop_005_124BPM.wav,loop,7.742
PML_DPV8_ZM_Hat_011.wav,hat,0.34
KM_WbR_SC1_45.wav,unknown,1.951
KM_WbR_HATS_FT_02.wav,hat,3.934
PML_AH_Bass_016_123BPM_G#m.wav,bass,7.805
KM_WbR_SC1_51.wav,unknown,1.951
PML_Organica_3_HatLoop_122BPM_023.wav,hat,3.934
PML_BOEHMER_HATLOOP_005_122BPM.wav,hat,3.871
PML_Organica_3_SnareLoop_122BPM_002.wav,snare,3.934
PML_AH_Hihat_Loop_005_121BPM.wav,hat,7.934
PML_Organica_3_BongoLoop_122BPM_008.wav,loop,7.869
PML_AH_LongerSynth_010_124BPM_Am.wav,unknown,15.484
PML_Organica_3_Clap_009.wav,clap,0.291
PML_Organica_3_BongoLoop_122BPM_020.wav,loop,7.869
PML_Organica_3_BongoLoop_122BPM_034.wav,loop,7.869
PML_AH_ShortSynth_016_120BPM_Dm.wav,unknown,4.0
KM_WbR_SHAKS_SYS_45.wav,unknown,1.951
KM_WbR_ZEN_BOWL_01.wav,unknown,7.934
KM_WbR_FX_CYM_04.wav,fx,15.61
KM_WbR_TALKING_05.wav,unknown,7.805
KM_WbR_SHAKS_SYS_51.wav,unknown,0.976
PML_Organica_3_PercLoop_122BPM_036.wav,perc,1.967
PML_Organica_3_PercLoop_122BPM_022.wav,perc,1.967
PML_DPV8_SV_FX_032.wav,fx,0.591
KM_WbR_SHAKER_10.wav,unknown,15.61
PML_Organica_3_VocalOneShot_EbMaj_007.wav,vocal,14.118
PML_Organica_3_ShakerLoop_122BPM_007.wav,loop,3.934
KM_WbR_FX_040.wav,fx,15.61
PML_Organica_3_ShakerLoop_122BPM_013.wav,loop,3.934
KM_WbR_SHAKER_04.wav,unknown,15.61
PML_AH_LongerSynth_015_121BPM_Am.wav,unknown,63.471
KM_WbR_FX_OVER_06.wav,fx,4.918
PML_Organica_3_TonalSongstarter_122BPM_C_008.wav,unknown,3.934
PML_Organica_3_TonalSongstarter_122BPM_C_009.wav,unknown,3.934
KM_WbR_SHAKER_05.wav,unknown,15.61
PML_Organica_3_ShakerLoop_122BPM_012.wav,loop,3.934
KM_WbR_FX_041.wav,fx,30.244
KM_WbR_FX_OVER_07.wav,fx,9.836
PML_DPV8_JS_Kick_007_A.wav,kick,0.5
PML_DPV8_SV_FX_033.wav,fx,0.882
PML_Organica_3_ShakerLoop_122BPM_006.wav,loop,3.934
PML_Organica_3_VocalOneShot_EbMaj_006.wav,vocal,10.574
